organization,country_firm
Industrias Kaiser Argentina (IKA),Argentina
INVAP,Argentina
Inversiones y Representaciones Sociedad Anónima (IRSA),Argentina
La Martina,Argentina
La Nación,Argentina
La Serenísima,Argentina
LADE (Líneas Aéreas Del Estado),Argentina
Líneas Aéreas Federales,Argentina
Líneas Aéreas Privadas Argentinas,Argentina
Loma Negra,Argentina
MercadoLibre.com,Argentina
Metrovías,Argentina
Molinos Río de la Plata,Argentina
Mostaza,Argentina
Motomel,Argentina
Municipal Bank of Rosario,Argentina
NGD Studios,Argentina
Nostromo Defensa,Argentina
Noticias,Argentina
Nucleosys,Argentina
Nuevo Central Argentino,Argentina
Página/12,Argentina
Patagonik Film Group,Argentina
Pixart,Argentina
Pol-ka,Argentina
RGB Entertainment,Argentina
SanCor,Argentina
Schneider,Argentina
SEMTUR,Argentina
Servicios de Transportes Aéreos Fueguinos,Argentina
Servicios Ferroviarios del Chaco,Argentina
Servicios Ferroviarios Patagónico,Argentina
Southern Fuegian Railway,Argentina
Tandanor,Argentina
Techint,Argentina
Telecom Argentina,Argentina
Telefe,Argentina
Torneos y Competencias,Argentina
Transportadora de Gas del Sur,Argentina
Tren a las Nubes,Argentina
Tren de la Costa,Argentina
Trenes de Buenos Aires,Argentina
Trenes Especiales Argentinos,Argentina
Tucumán Ferrocarriles,Argentina
TV Pública Digital,Argentina
Unidad de Gestión Operativa Ferroviaria de Emergencia (UGOFE),Argentina
YPF,Argentina
Zanella,Argentina
ABB Grain,Australia
ABC Learning,Australia
Ace Radio,Australia
Adam Internet,Australia
Aerosonde Ltd,Australia
AGL Energy,Australia
Alinta Gas,Australia
Allphones,Australia
Altium,Australia
Alumina,Australia
Amcor,Australia
AMP Limited,Australia
ANCA,Australia
Angus & Robertson,Australia
Ansarada,Australia
Ansell,Australia
Appliances Online,Australia
Aquila Shoes,Australia
Aristocrat Leisure,Australia
Arnott's Biscuits,Australia
Arrium,Australia
Arrow Research Corporation,Australia
Atlassian,Australia
Aurizon,Australia
Aussie Broadband,Australia
Austal Ships,Australia
Austar,Australia
Austereo,Australia
Australia and New Zealand Banking Group (ANZ),Australia
Australia Post,Australia
Australian Agricultural Company,Australia
Australian airExpress,Australia
Australian Airlines,Australia
Australian Broadcasting Corporation,Australia
Australian Defence Industries,Australia
Australian Ethical Investment,Australia
Australian Gas Light Company,Australia
Australian Motor Industries (AMI),Australia
Australian Pharmaceutical Industries,Australia
Australian Railroad Group,Australia
Australian Securities Exchange,Australia
ASC Pty Ltd,Australia
Ausway,Australia
AWB Limited,Australia
Babcock & Brown,Australia
BAE Systems Australia,Australia
Bakers Delight,Australia
Bank of Queensland,Australia
Beaurepaires,Australia
Becker Entertainment,Australia
BHP,Australia
Billabong,Australia
Bing Lee,Australia
Biosis Pty Ltd,Australia
BlueScope,Australia
Blundstone Footwear,Australia
Boag's Brewery,Australia
Boost Juice Bars,Australia
Boral,Australia
Brambles Limited,Australia
Brown Brothers Milawa Vineyard,Australia
Bulla Dairy Foods,Australia
Bunnings Warehouse,Australia
Burns Philp,Australia
Camperdown Dairy International,Australia
Canva,Australia
CBH Group,Australia
Cbus,Australia
Chemeq,Australia
CHEP,Australia
CIMIC Group,Australia
CityRail,Australia
Clean Seas,Australia
CMV Group,Australia
Coca-Cola Amatil,Australia
Cochlear Limited,Australia
Coles Group,Australia
Commonwealth Bank,Australia
Compare the Market Australia,Australia
Compass Resources,Australia
Computershare,Australia
ConnectEast,Australia
Cotton On,Australia
Country Energy,Australia
Crazy John's,Australia
Crossecom,Australia
Crown Resorts,Australia
Crumpler,Australia
CSL Limited,Australia
CSR Limited,Australia
Darrell Lea,Australia
David Jones Limited,Australia
De Bortoli Wines,Australia
Debt Mediators Australia,Australia
Delta Electricity,Australia
Dick Smith Electronics,Australia
Dick Smith Foods,Australia
Dorf Clark Industries,Australia
Downer Group,Australia
Driza-Bone,Australia
Dymocks Booksellers,Australia
Eagle Boys,Australia
Eftel,Australia
Elders Limited,Australia
Elfin Cars,Australia
Employsure,Australia
Energex,Australia
EnergyAustralia,Australia
EnviroMission,Australia
Eraring Energy,Australia
Ergon Energy,Australia
Esanda,Australia
Event Hospitality and Entertainment,Australia
Fairfax Media,Australia
Flight Centre,Australia
Florigene,Australia
Foodland Supermarkets,Australia
Fortescue Metals Group,Australia
Foster's Group,Australia
Foxtel,Australia
Franklins,Australia
Freehand Group,Australia
Funnelback,Australia
GMHBA Limited,Australia
Golden North,Australia
Goodman Fielder,Australia
Grocon,Australia
Gunns,Australia
GWA International,Australia
Haigh's Chocolates,Australia
Halfbrick Studios,Australia
Harvey Norman,Australia
Healthscope,Australia
Henry Jones IXL,Australia
HIH Insurance,Australia
Holden Special Vehicles,Australia
Holden,Australia
Honeysuckle Development Corporation,Australia
Huon Aquaculture,Australia
IGA,Australia
iiNet,Australia
Incat,Australia
Incitec Pivot,Australia
Insurance Australia Group,Australia
Internode Systems,Australia
IOOF Holdings,Australia
IQnovate,Australia
JB HiFi electrical,Australia
Jetstar Airways,Australia
Kangaroo Bus Lines,Australia
Kennedy Nolan,Australia
King Living,Australia
Kleenmaid,Australia
Kogan.com,Australia
LJ Hooker,Australia
Lanka Graphite,Australia
Leading Edge Group,Australia
Lendlease,Australia
Lend Lease Retirement Living,Australia
Lion,Australia
Lowes Menswear,Australia
MAB Corporation,Australia
Macquarie Atlas Roads,Australia
Macquarie Group,Australia
Madrigal Shipping Lines,Australia
Maton Guitars,Australia
McGrath Estate Agents,Australia
Mediapoint,Australia
Melbourne IT,Australia
Meriton,Australia
Metal Storm,Australia
Mirvac,Australia
Multiplex,Australia
Murrays,Australia
Myer,Australia
MYOB,Australia
Nash Timbers,Australia
National Australia Bank,Australia
National Storage,Australia
Netbox Blue,Australia
Network Ten,Australia
Newcastle Port Corporation,Australia
Newcrest Mining,Australia
Nine Network,Australia
Nufarm,Australia
Octaviar,Australia
Office National,Australia
Officeworks,Australia
Oneflare,Australia
Oporto,Australia
Optus,Australia
Orbital Corporation,Australia
Orica,Australia
Origin Energy,Australia
Orocobre,Australia
Pacific Star Network,Australia
Patrick Corporation,Australia
People Telecom,Australia
Peter Lehmann Wines,Australia
PIPE Networks,Australia
Promina Group,Australia
Qantas,Australia
Queensland Rail,Australia
Rail Infrastructure Corporation,Australia
Ramsay Health Care,Australia
Red Rooster,Australia
Redbubble,Australia
Rinker Group,Australia
Rio Tinto Group,Australia
Rip Curl,Australia
Røde Microphones,Australia
Roy Morgan Research,Australia
Sanitarium Health and Wellbeing Company,Australia
Santos,Australia
Sausage Software,Australia
Scentre Group,Australia
Searle x Waldron,Australia
Seven Network,Australia
Sigma Pharmaceuticals,Australia
Sino Gold Mining,Australia
Slater & Gordon,Australia
Smorgon Steel,Australia
Snowy Hydro,Australia
Southern & Silverton Rail,Australia
SPC Ardmona,Australia
Special Broadcasting Service,Australia
St George Bank,Australia
Stanwell Corporation,Australia
Star Entertainment Group,Australia
Sting Sports,Australia
Suncorp Group,Australia
Sunland Group,Australia
Sydney Ferries,Australia
Sydney Water,Australia
Tabcorp Holdings,Australia
Target Australia,Australia
Tarocash,Australia
Tatts Group,Australia
TechnologyOne,Australia
Telstra,Australia
Tenix Defence,Australia
Tip Top Bakeries,Australia
Toll Group,Australia
Torus Games,Australia
TPG Telecom,Australia
Transperth,Australia
Transurban,Australia
UGL Limited,Australia
Vero Insurance,Australia
Vicinity Centres,Australia
Village Cinemas,Australia
Village Roadshow,Australia
Virgin Australia,Australia
Visual Obsession,Australia
Wattyl,Australia
Webjet,Australia
Wesfarmers,Australia
Westnet,Australia
Westpac,Australia
Wine Selectors,Australia
Winning Appliances,Australia
Woods Bagot,Australia
Woodside Petroleum,Australia
Woolworths,Australia
Worley,Australia
Zinifex,Australia
Agrana,Austria
AHT Cooling Systems,Austria
Ammerer Bed Company,Austria
ams AG,Austria
Andritz,Austria
Atomic Skis,Austria
Augarten porcelain,Austria
AMAG Austria Metall AG,Austria
Austria Wirtschaftsservice Gesellschaft (aws),Austria
Austrian Airlines,Austria
AVL,Austria
B&R,Austria
Bank Austria,Austria
bauMax,Austria
BAWAG,Austria
Bene AG,Austria
Bestattung Wien,Austria
Billa,Austria
Böhler-Uddeholm,Austria
Borealis,Austria
Bösendorfer,Austria
Bundesimmobiliengesellschaft (BIG),Austria
CISC Semiconductor,Austria
Coffeeshop Company,Austria
Delfortgroup,Austria
Dependeq,Austria
Diamond Aircraft Industries,Austria
Doka Group,Austria
Doppelmayr Garaventa Group,Austria
Dorotheum,Austria
Erste Bank,Austria
Fabasoft,Austria
Fischer,Austria
Frequentis,Austria
GE Jenbacher,Austria
Gericom,Austria
Gessler,Austria
Glock Ges.m.b.H.,Austria
Goldscheider ceramics,Austria
Julius Blum,Austria
Julius Meinl,Austria
Kapsch,Austria
Kika,Austria
Kores,Austria
KTM,Austria
Lenzing AG,Austria
Löblich & Co.,Austria
Lyoness,Austria
Magna Steyr,Austria
Mayr-Melnhof,Austria
Neumann International,Austria
Niki,Austria
Noctua,Austria
ÖAF,Austria
OMV,Austria
Onepharm,Austria
Österreichische Industrieholding AG,Austria
Palfinger,Austria
Pfanner,Austria
Piatnik & Söhne,Austria
Plansee Group,Austria
Puch,Austria
Raiffeisen,Austria
Red Bull GmbH,Austria
RHI AG,Austria
Rosenbauer,Austria
Rotax,Austria
Runtastic,Austria
Semperit,Austria
SKIDATA,Austria
Steyr Mannlicher,Austria
Steyr Motors GmbH,Austria
Steyr Tractor,Austria
Strabag,Austria
Stroh,Austria
Swarovski,Austria
Telekom Austria,Austria
TourRadar,Austria
Tushek&Spigel Supercars,Austria
Uniqa,Austria
Verbund,Austria
Vienna Insurance Group,Austria
Voestalpine,Austria
Wienerberger,Austria
Zumtobel Lighting Group,Austria
Abdul Monem Limited,Bangladesh
A K Khan & Company,Bangladesh
Aarong,Bangladesh
ABC Radio,Bangladesh
Adamjee Jute Mills,Bangladesh
Advanced Chemical Industries,Bangladesh
Agamee Prakashani,Bangladesh
Agrani Bank,Bangladesh
Airtel Bangladesh,Bangladesh
Akij,Bangladesh
Alim Industries Limited,Bangladesh
Amar Desh,Bangladesh
Ananda Group,Bangladesh
Ananda Shipyard and Shipways,Bangladesh
Asian TV,Bangladesh
ASM Chemical Industries,Bangladesh
ATN Bangla,Bangladesh
Bangladesh Bank,Bangladesh
Bangladesh Machine Tools Factory,Bangladesh
Bangladesh Petroleum Corporation,Bangladesh
Bangladesh Shipping Corporation,Bangladesh
Banglalink,Bangladesh
Banglalion,Bangladesh
Banglavision,Bangladesh
Bashundhara Group,Bangladesh
Best Air,Bangladesh
Beximco Pharma,Bangladesh
Beximco,Bangladesh
Bikroy.com,Bangladesh
Biman Bangladesh Airlines,Bangladesh
Bismillah Airlines,Bangladesh
Bismillah Group,Bangladesh
BRAC Bank Limited,Bangladesh
BSRM,Bangladesh
BTCL,Bangladesh
Building Technology & Ideas,Bangladesh
Channel 9,Bangladesh
Channel i,Bangladesh
City Group,Bangladesh
Citycell,Bangladesh
Concord Group,Bangladesh
Confidence Group,Bangladesh
Cooper's,Bangladesh
Credit Rating Information and Services Limited (CRISL),Bangladesh
Delta Brac Housing Finance Corporation,Bangladesh
Desh TV,Bangladesh
Dhaka Bank Limited,Bangladesh
Dragon Group,Bangladesh
Dutch Bangla Bank,Bangladesh
Eastern Bank Limited,Bangladesh
Eastern Housing Limited,Bangladesh
Ekushey Television,Bangladesh
Eskayef Bangladesh,Bangladesh
EXIM Bank,Bangladesh
FMC Dockyard Limited,Bangladesh
General Pharma,Bangladesh
Globe Janakantha Shilpa Paribar,Bangladesh
GMG Airlines,Bangladesh
Grameen Bank,Bangladesh
Grameenphone,Bangladesh
Habib Group,Bangladesh
Ha-meem Group,Bangladesh
IDLC Asset Management Limited,Bangladesh
IDLC Finance Limited,Bangladesh
IDLC Investments Limited,Bangladesh
IDLC Securities Limited,Bangladesh
IFIC Bank,Bangladesh
Incepta Pharmaceuticals,Bangladesh
Independent Television,Bangladesh
Investment Corporation of Bangladesh (ICB),Bangladesh
Islami Bank Bangladesh Ltd,Bangladesh
Jaaz Multimedia,Bangladesh
Jamuna Bank,Bangladesh
Jamuna Group,Bangladesh
Jamuna Oil Company,Bangladesh
Janata Bank,Bangladesh
Jiban Bima Corporation,Bangladesh
Kazi Farms Group,Bangladesh
KDS Group,Bangladesh
Khulna Shipyard,Bangladesh
M. M. Ispahani Limited,Bangladesh
Mask Associates,Bangladesh
Meghna Group of Industries,Bangladesh
Meghna Group,Bangladesh
Mohona TV,Bangladesh
Monico Limited,Bangladesh
Monsoon Films,Bangladesh
Nasir Group,Bangladesh
Nassa Group,Bangladesh
National Bank Limited,Bangladesh
Navana Group,Bangladesh
Novoair,Bangladesh
NTV,Bangladesh
One Bank Limited,Bangladesh
Opsonin Pharma Limited,Bangladesh
Orion Group,Bangladesh
Otobi,Bangladesh
Padma Oil Company,Bangladesh
Paradise Group of Industries,Bangladesh
Partex Group,Bangladesh
Petrobangla,Bangladesh
Power Grid Company of Bangladesh,Bangladesh
Pragoti,Bangladesh
PRAN-RFL Group,Bangladesh
Pride Group,Bangladesh
Prime Bank Limited,Bangladesh
Prothom Alo,Bangladesh
Pubali Bank,Bangladesh
Radio Foorti,Bangladesh
Rahimafrooz,Bangladesh
Rajshahi Krishi Unnayan Bank,Bangladesh
Rangs Group,Bangladesh
RanksTel,Bangladesh
Regent Airways,Bangladesh
Regent Power Limited,Bangladesh
Renata Limited,Bangladesh
REVE Systems,Bangladesh
Robi,Bangladesh
RTV,Bangladesh
Runner automobiles Ltd.,Bangladesh
Rupali Bank,Bangladesh
Sadharan Bima Corporation,Bangladesh
S. Alam Group of Industries,Bangladesh
Sheltech,Bangladesh
Shyampur Sugar Mills,Bangladesh
Sikder Group,Bangladesh
Somoy TV,Bangladesh
Sonali Bank,Bangladesh
Southeast Bank Limited,Bangladesh
Square Pharmaceuticals,Bangladesh
Summit Group,Bangladesh
T K Group of Industries,Bangladesh
TeleTalk,Bangladesh
The ACME Laboratories Ltd,Bangladesh
The Daily Ittefaq,Bangladesh
Titas Gas,Bangladesh
Transcom Group,Bangladesh
Trust Bank Limited,Bangladesh
United Airways,Bangladesh
United Communication Service,Bangladesh
United Finance,Bangladesh
US-Bangla Airlines,Bangladesh
Uttara Bank Limited,Bangladesh
Walton,Bangladesh
Western Marine Shipyard,Bangladesh
Abelag Aviation,Belgium
Ablynx,Belgium
Ackermans & van Haaren,Belgium
AG Real Estate,Belgium
Ageas,Belgium
Agfa-Gevaert,Belgium
Agoria,Belgium
AIM Productions,Belgium
Alpro,Belgium
Anheuser-Busch InBev,Belgium
Antwerp Water Works,Belgium
Aquafin,Belgium
ASL Airlines Belgium,Belgium
Associated Weavers,Belgium
Aveve,Belgium
Aviapartner,Belgium
Barco,Belgium
Base,Belgium
Beaulieu International Group,Belgium
Befimmo,Belgium
Bekaert,Belgium
Belgian Beer Café,Belgium
Belgian Investment Company for Developing Countries,Belgium
Bpost,Belgium
Brussels Airlines,Belgium
Brussels Regional Investment Company,Belgium
Cockerill Sambre,Belgium
Carmeuse,Belgium
Cartamundi,Belgium
Cavalier Chocolate,Belgium
Claeys,Belgium
Cofinimmo,Belgium
Colruyt Group,Belgium
Compagnie Maritime Belge,Belgium
Confiserie Roodthooft,Belgium
Copiepresse,Belgium
De Lijn,Belgium
Deceuninck,Belgium
Delhaize Group,Belgium
DEME,Belgium
D'Ieteren,Belgium
DOMO Group,Belgium
Ecover,Belgium
Effortel,Belgium
ETAP Lighting,Belgium
Eurogentec,Belgium
EVS Broadcast Equipment,Belgium
Ferranti Computer Systems,Belgium
Fluxys,Belgium
Forrest Group,Belgium
Frère-Bourgeois,Belgium
Gimv,Belgium
Godiva Chocolatier,Belgium
Group Joos,Belgium
Groupe Bruxelles Lambert,Belgium
Guylian,Belgium
IMEC,Belgium
Imperia Automobiles,Belgium
Innogenetics,Belgium
Jan De Nul,Belgium
Janssen Pharmaceutica,Belgium
Jonckheere,Belgium
Katoen Natie,Belgium
KBC Bank,Belgium
Keytrade Bank,Belgium
Kinepolis,Belgium
Larian Studios,Belgium
Libeco-Lagae,Belgium
Louis Delhaize Group,Belgium
 Luciad NV,Belgium
Materialise NV,Belgium
Metallo-Chimique,Belgium
Mutoh Europe nv,Belgium
Namahn,Belgium
Compagnie Nationale à Portefeuille (CNP),Belgium
Nyrstar,Belgium
Option N.V.,Belgium
Proost,Belgium
Proximus,Belgium
Proximus Group,Belgium
Regional Investment Company of Wallonia,Belgium
Reynaers Aluminium,Belgium
RHJ International,Belgium
Ridley Bikes,Belgium
Saluc,Belgium
Septentrio,Belgium
Seyntex,Belgium
Skytech,Belgium
Solvay S.A.,Belgium
Soudal,Belgium
Sugar refinery of Tienen,Belgium
Telenet,Belgium
Teleroute,Belgium
Thermote & Vanhalst,Belgium
Thomas Cook Airlines Belgium,Belgium
Tibotec,Belgium
TiGenix,Belgium
Tractebel,Belgium
Truvo,Belgium
TUIfly Belgium,Belgium
UCB,Belgium
UMedia,Belgium
Umicore,Belgium
Unibind,Belgium
Union Minière du Haut Katanga,Belgium
Van Genechten Packaging,Belgium
Van Hool,Belgium
Vanbreda International,Belgium
Vanparys,Belgium
Velleman,Belgium
Vinçotte,Belgium
VLM Airlines,Belgium
Volvo Car Gent,Belgium
Walloon SME finance and guarantee company,Belgium
Zetes,Belgium
AES Eletropaulo,Brazil
Agrale,Brazil
AmBev,Brazil
América Latina Logística,Brazil
Andrade Gutierrez,Brazil
Aperam South America,Brazil
Aracruz Celulose,Brazil
AstralSat,Brazil
Avianca Brazil,Brazil
Avibras,Brazil
Azul Brazilian Airlines,Brazil
B2W,Brazil
Banco Bradesco,Brazil
Banco do Brasil,Brazil
Banco Nossa Caixa,Brazil
Banco Safra,Brazil
Banestes,Brazil
Banrisul,Brazil
BM&F Bovespa,Brazil
Bob's,Brazil
Bradespar,Brazil
Brasil & Movimento,Brazil
Brasil Kirin,Brazil
Brasil Telecom,Brazil
Braskem,Brazil
BRF S.A.,Brazil
Caixa Econômica Federal,Brazil
Caloi,Brazil
Camargo Corrêa,Brazil
Casas Bahia,Brazil
CBC,Brazil
CCR S.A.,Brazil
Celesc,Brazil
CEMIG,Brazil
Chamonix,Brazil
Hering,Brazil
Cielo,Brazil
Comgás,Brazil
CESP,Brazil
CPFL,Brazil
Companhia Siderúrgica Nacional,Brazil
Copacol,Brazil
Copel,Brazil
Cosan,Brazil
CTEEP,Brazil
Cyrela Brazil Realty,Brazil
Dafra Motos,Brazil
Del Vecchio,Brazil
Diagnosticos da America,Brazil
Diler & Associados,Brazil
Duratex,Brazil
EBX Group,Brazil
Eletrobras Furnas,Brazil
Eletrobrás,Brazil
Embraco,Brazil
Embraer,Brazil
Embratel,Brazil
EMGEPRON,Brazil
Embrapa,Brazil
Estrela,Brazil
Extrafarma,Brazil
Fabral,Brazil
Fibria,Brazil
Gafisa,Brazil
Garoto,Brazil
Gerdau,Brazil
Global Táxi Aéreo,Brazil
Gol Transportes Aéreos,Brazil
GPA,Brazil
Grupo Abril,Brazil
Grupo Folha,Brazil
Grupo Positivo,Brazil
Habib's,Brazil
Helibras,Brazil
Hidden Pousadas Brazil,Brazil
Hypermarcas,Brazil
IGB Eletrônica,Brazil
IMBEL,Brazil
Infraero,Brazil
Iochpe-Maxion,Brazil
Ipiranga,Brazil
Banco Itaú Unibanco,Brazil
Itaúsa,Brazil
Itautec,Brazil
JBS S.A.,Brazil
Klabin,Brazil
LATAM Brasil,Brazil
Light,Brazil
Lojas Americanas,Brazil
Lojas Renner,Brazil
Lojas Riachuelo,Brazil
Máquina de Vendas,Brazil
Marcopolo,Brazil
Marfrig,Brazil
Mascarello,Brazil
Módulo,Brazil
MRS Logística,Brazil
MRV Engenharia,Brazil
MWM International Motores,Brazil
Natura,Brazil
NET,Brazil
O Boticário,Brazil
Oi,Brazil
Oxiteno,Brazil
Pantanal Linhas Aéreas,Brazil
Petrobras,Brazil
RecordTV,Brazil
Organizações Globo,Brazil
Rede S.A.,Brazil
RedeTV!,Brazil
Rico Linhas Aéreas,Brazil
Rio de Janeiro Metro,Brazil
Rossi Residencial,Brazil
Rumo S.A.,Brazil
Sabesp,Brazil
Serviço Federal de Processamento de Dados,Brazil
SIATT,Brazil
SBT,Brazil
Suzano Papel e Celulose,Brazil
TAC,Brazil
Taurus,Brazil
Tectoy,Brazil
Telequartz,Brazil
Total Linhas Aéreas,Brazil
TRIP Linhas Aéreas,Brazil
Troller Veículos Especiais,Brazil
TV Cultura,Brazil
Ultragaz,Brazil
Ultrapar,Brazil
Universo Online,Brazil
Usiminas,Brazil
Vale,Brazil
Varig,Brazil
Vivo,Brazil
Votorantim,Brazil
WebJet Linhas Aéreas,Brazil
WEG Industries,Brazil
XMobots,Brazil
1-800-GOT-JUNK?,Canada
Norda Stelo,Canada
3Way International Logistics,Canada
A Buck or Two,Canada
A&W,Canada
Access Communications,Canada
Ache Records,Canada
Addition Elle,Canada
Advanced Cyclotron Systems,Canada
Affinity Credit Union,Canada
AHED,Canada
Air Canada,Canada
Aldo Group,Canada
AldrichPears Associates,Canada
Algonquin Power & Utilities,Canada
Allied Shipbuilders,Canada
Alta Newspaper Group,Canada
Alterra Power,Canada
Angoss,Canada
Apotex,Canada
Appnovation,Canada
Arc'teryx,Canada
Areva Resources Canada,Canada
Aritzia,Canada
Army & Navy Stores,Canada
Arsenal Pulp Press,Canada
ATB Financial,Canada
ATI Technologies,Canada
Atmosphere Visual Effects,Canada
Ballard Power Systems,Canada
Banff Lodging Co,Canada
Bank of Montreal,Canada
Bard Ventures,Canada
Barrick Gold,Canada
BBC Kids,Canada
BC Hydro,Canada
BC Research,Canada
Becker's,Canada
Bell Canada,Canada
Bell MTS,Canada
Ben Moss Jewellers,Canada
Bennett Environmental,Canada
Big Blue Bubble,Canada
BigPark,Canada
Biovail,Canada
BioWare,Canada
Bison Transport,Canada
Black Diamond Cheese,Canada
Black Hen Music,Canada
Blacks Photo Corporation,Canada
BlackBerry Limited,Canada
Blackburn Radio,Canada
"Blake, Cassels & Graydon",Canada
Bleeding Art Industries,Canada
Blenz Coffee,Canada
Blue Giant Equipment Corporation,Canada
Bluenotes,Canada
Boeing Canada,Canada
Bombardier Inc.,Canada
Bombardier Recreational Products,Canada
Book City,Canada
Boston Pizza,Canada
Boutique La Vie en Rose,Canada
Bowring Brothers,Canada
Bre-X,Canada
Brick Brewing Company,Canada
Brightlight Pictures,Canada
BrightSide Technologies,Canada
Brookfield Asset Management,Canada
Bruce Power,Canada
Brunet,Canada
Buckley's,Canada
Buhler Industries,Canada
Bullfrog Power,Canada
Cactus Club Cafe,Canada
Cadillac Fairview,Canada
CAE Inc.,Canada
Calm Air,Canada
Cameco,Canada
Canada Deposit Insurance Corporation,Canada
Canada Wide Media,Canada
Canadian Bank Note Company,Canada
Canadian Broadcasting Corporation (CBC),Canada
Canadian Hydro Developers,Canada
Canadian Imperial Bank of Commerce (CIBC),Canada
Canadian Light Source,Canada
Canadian National Railway,Canada
Canadian Natural Resources,Canada
Canadian Oil Sands,Canada
Canadian Pacific Railway Limited,Canada
Canadian Plasma Resources,Canada
Canadian Steamship Lines,Canada
Canadian Tire,Canada
Canadian Tire Bank,Canada
Canadian Western Bank,Canada
Canadian Wheat Board,Canada
Canalta Hotels,Canada
Candente Copper,Canada
Cangene Corp.,Canada
CanJet,Canada
Canpotex,Canada
Canucks Sports & Entertainment,Canada
Canwest,Canada
Capcom Vancouver,Canada
Cargill Ltd.,Canada
Casavant Frères,Canada
Cascades,Canada
Catalyst Paper,Canada
Celestica,Canada
Cellcom Communications,Canada
Cenovus Energy,Canada
Centra Gas Manitoba Inc.,Canada
Central Heat Distribution,Canada
Central Mountain Air,Canada
CGI Group,Canada
Chapters,Canada
CHC Helicopter,Canada
Choices Market,Canada
Chrysler Canada,Canada
CHUM Limited,Canada
Cineplex Entertainment,Canada
Cirque du Soleil,Canada
CityWest,Canada
Coachman Insurance Company,Canada
Coffee Time,Canada
Cognos,Canada
Colt Canada,Canada
Comm100,Canada
Commodore Books,Canada
Conestoga-Rovers & Associates,Canada
Conexus Credit Union,Canada
Continental Newspapers,Canada
Corby Spirit and Wine,Canada
Cordiant Capital Inc.,Canada
Corel,Canada
Corus Entertainment,Canada
"Cossette, Inc.",Canada
Coteau Books,Canada
Cott,Canada
Country Style,Canada
Creation Technologies,Canada
Crestline Coach,Canada
Expedia CruiseShipCenters,Canada
CSA Group,Canada
CTBC Bank (Canada),Canada
CTV Television Network,Canada
Cymax Stores,Canada
Cyntech,Canada
Dairyland Canada,Canada
Daiya,Canada
Dare Foods,Canada
Dart Flipcards,Canada
Delta Hotels,Canada
Descartes Systems Group,Canada
Desjardins Group,Canada
DHX Media,Canada
Digital Extremes,Canada
Digitcom,Canada
Discovery Air Defence,Canada
Discovery Air,Canada
Dofasco,Canada
Dollarama,Canada
Dominion Voting Systems,Canada
Domtar,Canada
Donner Metals,Canada
DreamCatcher Games,Canada
D-Wave Systems,Canada
Dynamotive Energy Systems,Canada
Dynamsoft,Canada
DynaVenture,Canada
EA Black Box,Canada
EA Canada,Canada
Ebco Industries,Canada
Elastic Path,Canada
Electrohome,Canada
EllisDon,Canada
Emera,Canada
Enbridge,Canada
Encana,Canada
Engineered Lifting Systems & Equipment,Canada
Enwave,Canada
Esprida,Canada
F&P Manufacturing Inc.,Canada
Fairchild Group,Canada
Fairchild TV,Canada
Fairfax Financial,Canada
Fairmont Hotels and Resorts,Canada
Falconbridge Ltd.,Canada
Farmers of North America,Canada
